Cod_Loc,IdProvincia,IdDepartamento,CategorÃ­a,Provincia,Departamento,Localidad,Nombre,Domicilio,Piso,CP,Cod_area,TelÃ©fono,Mail,Web,InformaciÃ³n adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,aÃ±o_act
6410010,6,6410,Editoriales de Libros,Buenos Aires,Ituzaingo,Ituzaingo,Re Vista Vocacional,Camacua 982,,1714.0,11.0,46230404,,www.posgradosba.com,,-34.649408,-58.667257,localizaciÃ³n precisa,CAL,2019
6413050,6,6413,Editoriales de Libros,Buenos Aires,Junin,Junin,De Las Tres Lagunas,EspaÃ±a 68,,6000.0,236.0,4631017,ediciones@delastreslagunas.com.ar,www.delastreslagunas.com.ar,,-34.586053,-60.94882,localizaciÃ³n precisa,ISBN,2019
6413050,6,6413,Editoriales de Libros,Buenos Aires,Junin,Junin,Puerco espÃ­n,Rivadavia 448,,6000.0,11.0,1561358096,puercoespineditorial@gmail.com,https://www.facebook.com/puercoespineditorial/,,-34.58587031,-60.95088987,localizaciÃ³n precisa,Municipalidad de JunÃ­n - Red de Ciudades Creativas,2019
6413050,6,6413,Editoriales de Libros,Buenos Aires,Junin,Junin,Rama Negra,Ricardo Rojas 954,,6000.0,236.0,154611768,,https://ramanegra.com.ar/,,-34.5653635,-60.9327041,localizaciÃ³n precisa,Municipalidad de Junin -  Red de Ciudades Creativas,2019
6427010,6,6427,Editoriales de Libros,Buenos Aires,La Matanza,La Matanza,Editorial Sudestada,Jose Alico 1583,,1770.0,11.0,42921859,,,,-34.7087494,-58.522937,localizaciÃ³n precisa,CAL,2019
6427010,6,6427,Editoriales de Libros,Buenos Aires,La Matanza,La Matanza,Tafi Ediciones,Soberania Nacional 2856,,1757.0,11.0,46268598,,,,-34.7471,-58.584999,localizaciÃ³n precisa,CAL,2019
6427010,6,6427,Editoriales de Libros,Buenos Aires,La Matanza,La Matanza,Universidad Nacional de la Matanza,Florencio Varela 1903,,,11.0,44808900,,ww.unlam.edu.ar,,-34.670135,-58.561936,localizaciÃ³n precisa,CAP,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,Al Margen,Calle 16 553,,1900.0,221.0,4830483,info@edicionesalmargen.com,edicionesalmargen.com,,-34.918348,-57.965647,localizaciÃ³n precisa,ISBN,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,Aljaba Producciones / Laura BermÃºdez Editora,Calle 472 885,,1900.0,11.0,54975795,aljabaediciones@gmail.com,aljabaproducciones.com,,-34.873563,-58.049216,localizaciÃ³n precisa,ISBN,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,De la Campana,Calle 7 1288,,1900.0,221.0,4721429,delatalitadorada@yahoo.com.ar,,,-34.919824,-57.942989,localizaciÃ³n precisa,ISBN,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,De la Talita Dorada,Calle 471 y 29 nÂº 3429,,1900.0,,,,,,-34.8878082,-58.059098,localizaciÃ³n precisa,ISBN,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,EDULP,Calle 47 380,,1900.0,221.0,4273992,editorial_unlp@yahoo.com.ar,editorial.unlp.edu.ar,,-34.908973,-57.947576,localizaciÃ³n precisa,ISBN,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,La Comuna Ediciones,Calle 50 entre 6 y 7,,1900.0,221.0,4271849,lacmuna@netverk.com.ar,,,-34.9142294,-57.9498553,localizaciÃ³n precisa,ISBN,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,Mil Botellas Editorial,Calle 3 nÂ° 2069,,1900.0,221.0,154555950,mil_botellas@yahoo.com.ar,milbotellas.blogspot.com,,-34.9204948,-57.9535657,localizaciÃ³n precisa,ISBN,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,Pixel Editora,La Plata,,1900.0,221.0,4220356,identidad_pixel@hotmail.com,http://pixeleditora.com.ar/,,-34.92125,-57.9543333,localizaciÃ³n precisa,SInCA,2019
6441030,6,6441,Editoriales de Libros,Buenos Aires,La Plata,La Plata,"Platense, Editorial",Calle 15 NÂº 644,,1900.0,221.0,4828070,,,,-34.902497,-57.9846103,localizaciÃ³n precisa,CAL,2019
6434010,6,6434,Editoriales de Libros,Buenos Aires,Lanus,Lanus,Del Cronopio Azul,Florencio Varela 683,,1824.0,11.0,42256914,,,,-34.6899375,-58.3853622,localizaciÃ³n precisa,CAL,2019
6434010,6,6434,Editoriales de Libros,Buenos Aires,Lanus,Lanus,EdUNLa,29 de Septiembre 3901,,1824.0,11.0, 63229200 int. 5727,edunla@unla.edu.ar,www.unla.edu.ar,,-34.73534,-58.390179,localizaciÃ³n precisa,ISBN,2019
6434010,6,6434,Editoriales de Libros,Buenos Aires,Lanus,Lanus,Nuestra America,Carlos Tejedor 721,,1824.0,11.0,42472140,,,,-34.702683,-58.402218,localizaciÃ³n precisa,CAL,2019
6476030,6,6476,Editoriales de Libros,Buenos Aires,Loberia,Loberia,Grupo DinÃ¡mica,SuÃ¡rez GarcÃ­a 430,,7635.0,2262.0,15480003,editdinam@hotmail.com,,,-38.1585553,-58.785039,localizaciÃ³n precisa,ISBN,2019
6490010,6,6490,Editoriales de Libros,Buenos Aires,Lomas de Zamora,Lomas de Zamora,Ediciones Aldea Hippie / R y C Editora,Araoz 512,,,11.0,42480731,rodocampi@yahoo.com.ar,ryceditora.com.ar/index.html,,-34.736045,-58.400624,localizaciÃ³n precisa,ISBN,2019
6497060,6,6497,Editoriales de Libros,Buenos Aires,Lujan,Lujan,EdUnlu,Ruta Nacional 5 y Av. Constitucion 0,,,2323.0,420380,mvinjoy@unlu.edu.ar,www.edunlu.unlu.edu.ar/,,-34.577335,-59.088479,localizaciÃ³n precisa,SInCA,2019
6515010,6,6515,Editoriales de Libros,Buenos Aires,Malvinas Argentinas,Malvinas Argentinas,Un. Nac. De Gral Sarmiento,Jose Maria Gutierrez 1150,,1613.0,11.0,44697686,,,,-34.520842,-58.700273,localizaciÃ³n precisa,CAL,2019
6357110,6,6357,Editoriales de Libros,Buenos Aires,General Pueyrredon,Mar del Plata,EUDEM,Diagonal Juan B. Alberdi 2695,,7600.0,223.0, 4752333 int.: 35,ceiram@mdp.edu.ar,,,-37.9971757,-57.5462433,localizaciÃ³n precisa,SInCA,2019
6357110,6,6357,Editoriales de Libros,Buenos Aires,General Pueyrredon,Mar del Plata,SuÃ¡rez,General Roca 4091,,7602.0,223.0,4749794,info@edicionessuarez.com.ar,edicionessuarez.com.ar,,-38.004701,-57.572008,localizaciÃ³n precisa,ISBN,2019
6560010,6,6560,Editoriales de Libros,Buenos Aires,Moreno,Moreno,UNM Editora,Bartolome Mitre 1891,,1744.0,237.0,4867186,,,,-34.6525851,-58.7769614,localizaciÃ³n precisa,CAL,2019
6568010,6,6568,Editoriales de Libros,Buenos Aires,Moron,Moron,Ovni Press,El Ceibo 271,,1706.0,11.0,46592318,,,,-34.6508774,-58.5872977,localizaciÃ³n precisa,CAL,2019
6568010,6,6568,Editoriales de Libros,Buenos Aires,Moron,Moron,Praia,Salta 203,,1708.0,11.0,1544213177,edicionespraia@hotmail.com,,,-34.6463866,-58.6210676,localizaciÃ³n precisa,ISBN,2019
6581040,6,6581,Editoriales de Libros,Buenos Aires,Necochea,Necochea - Quequen,DFL Ediciones,Av. 79 345,,,2262.0,439263,dfl_necochea@yahoo.com.ar,www.dflediciones.com.ar/,,-38.578751,-58.728509,localizaciÃ³n precisa,ISBN,2019
6623100,6,6623,Editoriales de Libros,Buenos Aires,Pergamino,Pergamino,Rodriguez Leonardo Daniel,Pergamino 533,,1406.0,11.0,157372256,,,,-33.8912831,-60.5745999,localizaciÃ³n precisa,CAL,2019
6638040,6,6638,Editoriales de Libros,Buenos Aires,Pilar,Pilar,Casa Nazarena de Publicaciones,Av. Pte. Peron 3251,,1635.0,2322.0,488028,,,,-34.4762618,-58.8512892,localizaciÃ³n precisa,CAL,2019
6638040,6,6638,Editoriales de Libros,Buenos Aires,Pilar,Pilar,M. Laffitte Ediciones,Av. Pte. PerÃ³n 3251,,,11.0,27390143,mlaffitteediciones@gmail.com,https://marcelolaffitte.mercadoshops.com.ar/,,-34.4762618,-58.8512892,localizaciÃ³n precisa,ISBN,2019
6658010,6,6658,Editoriales de Libros,Buenos Aires,Quilmes,Quilmes,Editorial de la Universidad de Quilmes,Roque Saenz Pena 352,,1878.0,11.0,43657100,editorial@unq.edu.ar,www.unq.edu.ar,,-34.706467,-58.277128,localizaciÃ³n precisa,ISBN,2019
6658010,6,6658,Editoriales de Libros,Buenos Aires,Quilmes,Quilmes,Jarmat,Boedo 1317,,1878.0,11.0,20647622,juan.jarmat@gmail.com,,,-34.726881,-58.300405,localizaciÃ³n precisa,ISBN,2019
6658010,6,6658,Editoriales de Libros,Buenos Aires,Quilmes,Quilmes,Landeira,Av. Andres Baranda 62,,1878.0,11.0,42241175,,,,-34.7176905,-58.2748461,localizaciÃ³n precisa,CAL,2019
6658010,6,6658,Editoriales de Libros,Buenos Aires,Quilmes,Quilmes,Tiempo Sur Ediciones,Mitre 531,Entrepiso,1878.0,11.0,42243318,tiemposur@argentina.com,,,-34.719658,-58.25534,localizaciÃ³n precisa,ISBN,2019
6749010,6,6749,Editoriales de Libros,Buenos Aires,San Fernando,San Fernando,El Buen Libro,Henry Dunant 1360,,1646.0,11.0,67659949,,,,-34.4482896,-58.5499207,localizaciÃ³n precisa,CAL,2019
6749010,6,6749,Editoriales de Libros,Buenos Aires,San Fernando,San Fernando,Milena Caserola,Constitucion 2722,,1646.0,11.0,47442611,losreck@hotmail.com,http://milenacaserola.blogspot.com/,,-34.451233,-58.543669,localizaciÃ³n precisa,ISBN,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,"Antroposofica, Editorial",El Indio 1837,,1607.0,11.0,45096538,,,,-34.470829,-58.5286102,localizaciÃ³n precisa,CAL,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Arcadia Argentina Ediciones,Hipolito Yrigoyen 1125,,,11.0,47988962,edicion@arcadiaediciones.com,arcadiaediciones.com,,-34.495731,-58.513731,localizaciÃ³n precisa,ISBN,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Del Cami Latina,Intendente Alfaro 109,,1641.0,11.0,47322266,,,,-34.4805519,-58.5050644,localizaciÃ³n precisa,CAL,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Ediciones Del Pulpo Negro,Uruguay 802,,1643.0,11.0,47420848,,,,-34.45471,-58.53177,localizaciÃ³n precisa,CAL,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Editorial Estrada S.A.,Av. Blanco Encalada 104,,1609.0,11.0,47088000,,www.editorialestrada.com.ar,,-34.493072,-58.552075,localizaciÃ³n precisa,CAL/CAP,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,EVIA Ediciones,Billinghurst 460,,,11.0,47236243,info@eviaediciones.com,,,-34.480098,-58.533837,localizaciÃ³n precisa,ISBN,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Grupo Union,Caseros 916,,1642.0,11.0,48273744,,,,-34.4619968,-58.5095215,localizaciÃ³n precisa,CAL,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Kel,Emilio Frers 2228,,,11.0,47175603,info@kel-ediciones.com,www.kelediciones.com,,-34.50652126,-58.53191614,localizaciÃ³n precisa,CAP,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Macmillan Publishers S.A.,Av. Blanco Encalada 104,,1609.0,11.0,47088000,,www.grupomacmillan.com.ar,,-34.493972,-58.552975,localizaciÃ³n precisa,CAL/CAP,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Maizal Ediciones,MuÃ±iz 438,,1640.0,11.0,47929496,,www.maizal.com,,-34.489752,-58.494325,localizaciÃ³n precisa,CAL,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,My Special Book,Obispo Terrero 1546,,1642.0,11.0,47634888,,,,-34.4831205,-58.5319983,localizaciÃ³n precisa,CAL,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Pistarelli Alejandro Jorge,Magallanes 906,,1642.0,11.0,1531960713,,,,-34.4644177,-58.5076803,localizaciÃ³n precisa,CAL,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Puerto De Palos / CÃ¡ntaro,Av. Blanco Encalada 104,,1609.0,11.0,49021093,ar.catalogaciones@macmillaneducation.com,puertodepalos.com.ar,,-34.4933406,-58.552529,localizaciÃ³n precisa,CAL / ISBN,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Sandi Horacio Gustavo,Castro Barros 2131,,1640.0,11.0,1540415210,,,,-34.4988336,-58.5176128,localizaciÃ³n precisa,CAL,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Unishop S.A. / Boutique Del Libro,Arenales 2048,,1640.0,2901.0,424750,,www.boutiquedellibro.com.ar,,-34.4888727,-58.4982029,localizaciÃ³n precisa,CAL/CAP,2019
6756010,6,6756,Editoriales de Libros,Buenos Aires,San Isidro,San Isidro,Vicens Vives Argentina,Centenario 1528,,,11.0,47437677,mjimenez@vicensvives.com.ar,www.vicensvives.com.ar,,-34.463304,-58.524673,localizaciÃ³n precisa,CAP,2019
6760010,6,6760,Editoriales de Libros,Buenos Aires,San Miguel,San Miguel,Libros Condor,Lago Traful 1350,,1661.0,11.0,1565956740,,,,-34.5835463,-58.6989209,localizaciÃ³n precisa,CAL,2019
6763050,6,6763,Editoriales de Libros,Buenos Aires,San Nicolas,San Nicolas de los Arroyos,YaguarÃ³n Ediciones,BenÃ­tez 123,,,336.0,4431921,pedrodevicari@hotmail.com,,,-33.3394964,-60.202078,localizaciÃ³n precisa,ISBN,2019
6791050,6,6791,Editoriales de Libros,Buenos Aires,Tandil,Tandil,Editorial UNICEN,Pinto 399,Piso 2,,249.0,4422000,,www.unicen.edu.ar,,-37.328568,-59.138526,localizaciÃ³n precisa,ISBN,2019
6805010,6,6805,Editoriales de Libros,Buenos Aires,Tigre,Tigre,Ledargsa SA,Av. General Belbrano 2813,,,11.0,Â 47270543,,https://www.lexuseditores.com/argentina/,,-34.4776547,-58.627101,localizaciÃ³n precisa,CAP,2019
6840010,6,6840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,AqL / Ãlide Editores,Jonas Salk 1279,,1692.0,11.0,52933628,edicionesaql@yahoo.com.ar,,,-34.5615481,-58.613065,localizaciÃ³n precisa,ISBN,2019
6840010,6,6840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,Dosyuna Ediciones Argentinas,Alianza 586,,,11.0,46579183,,www.dosyunaediciones.com.ar,,-34.646553,-58.536706,localizaciÃ³n precisa,ISBN,2019
6840010,6,6840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,Ediciones Enepe,Dante 4065,,1676.0,11.0,47592930,,,,-34.5983742,-58.5518688,localizaciÃ³n precisa,CAL,2019
6840010,6,6840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,EDUNTREF,ValentÃ­n GÃ³mez 4838,,1676.0,11.0,45196010,distribucioneduntref@untref.edu.ar,http://eduntref.com.ar,,-34.6051125,-58.5643368,localizaciÃ³n precisa,ISBN,2019
6840010,6,6840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,Gradifco,Viamonte 2632,,1678.0,11.0,47505688,info@gradifco.com.ar,http://www.gradifco.com.ar,,-34.6144672,-58.541898,localizaciÃ³n precisa,ISBN,2019
6840010,6,6840,Editoriales de Libros,Buenos Aires,Tres de Febrero,Tres de Febrero,Imaginate Editorial,Florentino Ameghino 3206,8,,,,editorialimaginante@hotmail.com,http://www.editorialimaginante.com.ar/,,-34.5982178,-58.5327118,localizaciÃ³n precisa,SInCA,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,A.C.E.S.,Av. San Martin 4555,,1604.0,11.0,55444800,,https://editorialaces.com,,-34.541744,-58.520311,localizaciÃ³n precisa,CAL / ISBN,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Barcelbaires,Av. Del Libertador 650,5Âº,1638.0,11.0,49619001,,,,-34.5281756,-58.4709778,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Bookfactory.Com Srl,Beruti 1560,,1602.0,11.0,47602300,,,,-34.5439656,-58.5265665,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Cauquen Editora,Estanislao del Campo 1159,Piso 1Â° A,,11.0,1544064275,rosacolombo@arnet.com.ar,rosacolombo.weebly.com,,-34.5374916,-58.5032348,localizaciÃ³n precisa,ISBN,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Dirac Dist. S.A,Av. Cnel. Francisco Uzal 3556,,,11.0,47992008,,www.sddistribuciones.com,,-34.5125618,-58.5132135,localizaciÃ³n precisa,CAP,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Editorial MÃ©dica AWWE,Uspallata 735,3ro,1638.0,11.0,47978662,,http://www.emawwe.com,,-34.534571,-58.468073,localizaciÃ³n precisa,ISBN,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Grama Ediciones,Av. Maipu 3511,1Âº A,1636.0,11.0,52932275,,www.gramaediciones.com.ar,,-34.503594,-58.494631,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,"Kairos, Ediciones",Caseros 1275,,1602.0,11.0,47963306,,,,-34.5279282,-58.486012,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,La Revisteria Comics,Uzal 3560,,1636.0,,,,,,-34.5125122,-58.5132269,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Lenguaje Claro Editora,Portugal 2951,,1605.0,,,getenner@lenguajeclaro.com,www.lenguajeclaro.com,,-34.528279,-58.536851,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Patagonia Sur Libros,Curupayti 1476/80,,1607.0,,,,,,-34.5281205,-58.473816,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,PequeÃ±a Hoja Editor,L. De La Torre 274,,1638.0,,,,,,-34.5337355,-58.4747142,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,"Photo Design, Ediciones",Av. Maipu 1335,16 - D,1638.0,,,,,,-34.5251643,-58.4827595,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Quondam,Gobernador Vernet 520,"11Âº  ""B""",1638.0,,,,,,-34.523544,-58.471556,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,"Valletta, Ediciones",Laprida 1780,,1602.0,,,,www.vallettaediciones.com,,-34.536554,-58.47986,localizaciÃ³n precisa,CAL,2019
6861010,6,6861,Editoriales de Libros,Buenos Aires,Vicente Lopez,Vicente Lopez,Wolkowicz Editores,General Martin Miguel de Guemes 2128,,1638.0,11.0, 4094 6351,info@wolkowiczeditores.com.ar,,,-34.532007,-58.473276,localizaciÃ³n precisa,ISBN,2019
10049030,10,10049,Editoriales de Libros,Catamarca,Capital,San Fernando del Valle de Catamarca,Editorial Cientifica Universitaria,Av. Belgrano 300,P. A.,4700.0,,,,www.unca.edu.ar,,-28.460601,-65.783219,localizaciÃ³n precisa,ISBN,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Contexto,Hipolito Hirigoyen 399,,3500.0,3624.0,4449652,,,,-27.453418,-58.982101,localizaciÃ³n precisa,CAL,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Ediciones Joselin,Rivadavia 180,Piso 3,9000.0,297.0,4476024,,,,-45.86215,-67.476597,localizaciÃ³n precisa,CAL,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Editorial de la Universidad Nacional del Nordeste EUDENE,Las Heras 727,,3500.0,362.0,4420076,editorial@ing.unne.edu.ar,unne.edu.ar,,-27.4642135,-58.9836676,localizaciÃ³n precisa,ISBN,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Jerez Editores,Ameghino 763,,3500.0,3722.0,431944,,,,-27.4602,-58.983319,localizaciÃ³n precisa,CAL,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,LibrerÃ­a de la Paz,Av. 9 de Julio 359,,3500.0,,,,,,-27.454035,-58.983392,localizaciÃ³n precisa,ISBN,2019
22140060,22,22140,Editoriales de Libros,Chaco,San Fernando,Resistencia,Placeres Perfectos,Av. Castelii 314,,3500.0,3624.0,438000,,,,-27.4601379,-58.9908428,localizaciÃ³n precisa,CAL,2019
26021030,26,26021,Editoriales de Libros,Chubut,Escalante,Comodoro Rivadavia,Vela al Viento Ediciones Patagonicas,Rivadavia 880,,9000.0,,,,,,-45.862149,-67.487368,localizaciÃ³n precisa,ISBN,2019
26014090,26,26014,Editoriales de Libros,Chubut,Cushamen,Lago Puelo,Espacio Hudson,Casilla de Correo NÃºmero 1,,9211.0,297.0,5002745,,http://espaciohudson.com/,,-42.0614231,-71.5984402,localizaciÃ³n precisa,ISBN,2019
26007020,26,26007,Editoriales de Libros,Chubut,Biedma,Puerto Madryn,Extremo Sur,Quilimbay 2564,,9120.0,280.0,154592297,,,,-42.8063526,-65.0450542,localizaciÃ³n precisa,CAL,2019
26077030,26,26077,Editoriales de Libros,Chubut,Rawson,Rawson,Fondo Editorial Provincial,Federicci 216,,9103.0,,,,www.chubut.gov.ar,,-43.296978,-65.105653,localizaciÃ³n precisa,SInCA,2019
26077040,26,26077,Editoriales de Libros,Chubut,Rawson,Trelew,Remitente Patagonia,Moreno 458,,9100.0,280.0,154629134,remitentepatagonia@gmail.com,https://remitentepatagonia.com.ar/,,-43.25213242,-65.30248418,localizaciÃ³n precisa,ISBN,2019
2000010,2,2000,Editoriales de Libros,Ciudad AutÃ³noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,A&L Editores / Angrisani Ediciones,Jose Bonifacio 2140,Piso Pb Depto. 5,,11.0,20644314,consultas@ayleditores.com.ar,www.ayleditores.com.ar,,-34.630142,-58.463758,localizaciÃ³n precisa,ISBN,2019
2000010,2,2000,Editoriales de Libros,Ciudad AutÃ³noma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Abaco,Viamonte 1336,6? Of.34,1053.0,11.0,43711675,,www.abacoeditorial.com.ar,,-34.600549,-58.385834,localizaciÃ³n precisa,CAL / ISBN,2019
