Cod_Loc,IdProvincia,IdDepartamento,Observacion,Categoría,Provincia,Departamento,Localidad,Nombre,Domicilio,Piso,CP,cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,tipo_gestion,digital,año_act
06147030,06,06147,,Diarios Impresos,Buenos Aires,Carlos Casares,Carlos Casares,Nueva imagen,Almirante Brown 138,,,2395,451030,,https://www.periodiconuevaimagen.com.ar,,-35.6210800,-61.3630300,localización precisa,SInCA,Privado,Sí,2019
06217010,06,06217,,Diarios Impresos,Buenos Aires,Chascomus,Chascomus,Diario El Fuerte,Belgrano  174,,,2241,423096,,www.prensaescrita.com/adiario.php?codigo=ARG&pagina=usuarios.advance.com.ar/elfuerte,,-35.5743400,-58.0149560,localización precisa,SInCA,Privado,Sí,2019
06217010,06,06217,,Diarios Impresos,Buenos Aires,Chascomus,Chascomus,El Cronista,Moreno 46,,,2241,422758,,www.elcronistadiario.com,,-35.5781280,-58.0107070,localización precisa,SInCA,Privado,Sí,2019
06224010,06,06224,,Diarios Impresos,Buenos Aires,Chivilcoy,Chivilcoy,La Razon de Chivilcoy,Sarmiento  74,,,2346,434900,redaccion@larazondechivilcoy.com.ar,www.larazondechivilcoy.com.ar,,-34.8985180,-60.0169680,localización precisa,SInCA,Privado,Sí,2019
06196010,06,06196,,Diarios Impresos,Buenos Aires,Coronel Pringles,Coronel Pringles,El Diario de Pringles ,Colón N° 848,,,2922,463874,eldiario@pringles.com.ar,http://www.eldiariodepringles.com.ar/,,-37.9881930,-61.3527450,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06196010,06,06196,,Diarios Impresos,Buenos Aires,Coronel Pringles,Coronel Pringles,El orden,Leandro N. Alem 1022,,,2922,444187,,http://www.elorden.com/,,-37.9862070,-61.3519660,localización precisa,SInCA,Privado,Sí,2019
06203020,06,06203,,Diarios Impresos,Buenos Aires,Coronel Suarez,Coronel Suarez,Nuevo Dia ,Junín 98,,,2926,430380,,http://www.nuevodiadigital.com/,,-37.4586950,-61.9289130,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06238010,06,06238,,Diarios Impresos,Buenos Aires,Dolores,Dolores,Compromiso ,Moreno 101,,,2245,44245,,http://www.compromisodiario.com.ar/,,-36.3167290,-57.6804590,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06252010,06,06252,,Diarios Impresos,Buenos Aires,Escobar,Escobar,El Diario de Escobar ,Av. Belgrano 567,,,348,4422221,info@grupoeldiario.com,https://eldiariodeescobar.com.ar/,,-34.3456760,-58.7922850,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06270010,06,06270,,Diarios Impresos,Buenos Aires,Ezeiza,Ezeiza,Periódico la 205 ,s/d,,1804,,,,http://www.la205.com.ar/,Periódico,-34.8499165,-58.5228848,localización por localidad,Diarios Argentinos.com,Privado,Sí,2019
06270010,06,06270,,Diarios Impresos,Buenos Aires,Ezeiza,Ezeiza,La Palabra de Ezeiza,Tucumán 142,,1804,11,42326274,ezeizaediciones@yahoo.com.ar,http://www.lapalabradeezeiza.com.ar/,,-34.8489910,-58.5224370,localización precisa,Diarios Bonaerenses,Privado,Sí,2019
06274010,06,06274,,Diarios Impresos,Buenos Aires,Florencio Varela,Florencio Varela,Mi Ciudad ,Av. San Martin 733,,,11,42552595,diariomiciudadvarela@yahoo.com.ar,https://www.miciudadenlinea.com.ar/,,-34.7601350,-58.3003090,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06274010,06,06274,,Diarios Impresos,Buenos Aires,Florencio Varela,Florencio Varela,Varela al Dia ,Av.12 de Octubre Nº 499,,,11,43555555,,http://varelaaldia.com.ar,,-34.8160200,-58.2717060,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06277020,06,06277,,Diarios Impresos,Buenos Aires,Florentino Ameghino,General Ameghino,El Ojo Ameghinense ,B° Obrero C. 46 ,,,2355,15456819,lamarcadelincoln@yahoo.com.ar,http://www.elojoenlinea.com.ar/,,-34.8466777,-62.4671576,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06315010,06,06315,,Diarios Impresos,Buenos Aires,General Juan Madariaga,General Juan Madariaga,El Mensajero de La Costa,C. Madariaga  225,,,2267,424657,elmensajero@telpin.com.ar,www.diario-elmensajero.com.ar,,-36.9981020,-57.1375890,localización precisa,SInCA,Privado,Sí,2019
06364030,06,06364,,Diarios Impresos,Buenos Aires,General Rodriguez,General Rodriguez,El Vecinal ,2 de Abril 775,,1748,237,4853470,semanarioelvecinal@gmail.com,https://es-la.facebook.com/elvecinal/,Semanario,-34.6068860,-58.9529610,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06392050,06,06392,,Diarios Impresos,Buenos Aires,General Villegas,General Villegas,Actualidad ,San Martín 223,,,3388,421315,info@diarioactualidad.com,http://diarioactualidad.com/,,-35.0306710,-63.0151230,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06413050,06,06413,,Diarios Impresos,Buenos Aires,Junin,Junin,Democracia,Rivadavia 436,,,2362,446111,diario@diariodemocracia.com,www.diariodemocracia.com,,-34.5860210,-60.9505490,localización precisa,SInCA,Privado,Sí,2019
06413050,06,06413,,Diarios Impresos,Buenos Aires,Junin,Junin,La Verdad,Roque Saenz Pena 167,,6000,2362,443610,laverdad@satlink.com.AR,www.laverdadonline.com,,-34.5901240,-60.9467710,localización precisa,SInCA,Privado,Sí,2019
06441030,06,06441,,Diarios Impresos,Buenos Aires,La Plata,La Plata,Primera Pagina ,Calle 7 Nº 94,P 1 depto 11,,221,4210421,primerapaginadiario@yahoo.com.ar,http://primerapagina.info/,,-34.9020740,-57.9667040,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06441030,06,06441,,Diarios Impresos,Buenos Aires,La Plata,La Plata,Diario Extra,Calle 49 535,Piso 1 ?3?,1900,221,4220054,info@diarioextra.com.ar,www.diarioextra.com.ar,,-34.9128820,-57.9488940,localización precisa,SInCA,Privado,Sí,2019
06441030,06,06441,,Diarios Impresos,Buenos Aires,La Plata,La Plata,El Dia,Diagonal 80 817,,1900,221,4232996,correo@eldia.com,www.eldia.com.ar,,-34.9089100,-57.9489590,localización precisa,IVC,Privado,Sí,2019
06441030,06,06441,,Diarios Impresos,Buenos Aires,La Plata,La Plata,El Plata Informador,Diagonal 80 817,,1900,221,4232996,,,,-34.9089100,-57.9489590,localización precisa,IVC,Privado,Sí,2019
06441030,06,06441,,Diarios Impresos,Buenos Aires,La Plata,La Plata,Hoy ,Cnel. Dorrego  584,,,2474,15564814,,www.hoyrojas.com.ar,,-34.1952420,-60.7402400,localización precisa,SInCA,Privado,Sí,2019
06469080,06,06469,,Diarios Impresos,Buenos Aires,Lincoln,Lincoln,La Posta del Noroeste ,Andrade 746,,,2355,432683,redacciondiariolaposta@gmail.com,http://lapostadiario.com/,,-34.8665690,-61.5443290,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06483040,06,06483,,Diarios Impresos,Buenos Aires,Lobos,Lobos,La Palabra de Lobos,Las Heras 38,,,2227,431800,lapalabradelobos@yahoo.com.ar,http://www.lapalabradelobos.com/,,-35.1861800,-59.0995110,localización precisa,Diarios Bonaerenses,Privado,Sí,2019
06490010,06,06490,,Diarios Impresos,Buenos Aires,Lomas de Zamora,Lomas de Zamora,La Union,San Mart 673,,4700,,,digital@multimediosunion.com.ar,www.launiondigital.com.ar,,-28.4694180,-65.7773460,localización precisa,SInCA,Privado,Sí,2019
06497060,06,06497,,Diarios Impresos,Buenos Aires,Lujan,Lujan,El Civismo,Dr. Muniz 654,,6700,2323,428466,,www.elcivismo.com.ar,,-34.5708620,-59.1151610,localización precisa,SInCA,Privado,Sí,2019
06497060,06,06497,,Diarios Impresos,Buenos Aires,Lujan,Lujan,Presente ,Italia 1285,,6700,2323,435000,contacto@semanario-presente.com.ar,http://www.semanario-presente.com.ar/,Semanario,-34.5683660,-59.1180400,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06511020,06,06511,,Diarios Impresos,Buenos Aires,Maipu,Maipu,Semana Maipuense ,s/d,,,2268,15403648,semanamaipuense@hotmail.com,https://www.facebook.com/elsemanariodemaipu/,,-36.8648515,-57.8829166,localización por localidad,Diarios Argentinos.com,Privado,Sí,2019
06357110,06,06357,,Diarios Impresos,Buenos Aires,General Pueyrredon,Mar del Plata,La Capital de Mar del Plata,Av. M. Champagnat  2551,,7604,223,4788490,contacto@lacapitalmdq.com.ar,www.lacapitalmdp.com/,,-37.9879100,-57.5889220,localización precisa,SInCA,Privado,Sí,2019
06420040,06,06420,,Diarios Impresos,Buenos Aires,La Costa,Mar del Tuyú ,Pionero ,calle 75bis N°85,,,2246,434420,,http://diariopionero.com.ar/,,-36.5778090,-56.6901110,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06532020,06,06532,,Diarios Impresos,Buenos Aires,Mercedes,Mercedes,El Nuevo Cronista ,Calle 5 Nº 619,,,2324,426372,,http://www.nuevocronista.com/,,-34.6520730,-59.4199590,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06532020,06,06532,,Diarios Impresos,Buenos Aires,Mercedes,Mercedes,Los Protagonistas,Calle 14 671,,6600,2324,423884,info@sprotagonistas.com.ar,www.sprotagonistas.com.ar,,-34.6550750,-59.4325610,localización precisa,SInCA,Privado,Sí,2019
06568010,06,06568,,Diarios Impresos,Buenos Aires,Moron,Moron,El Diario de Moron,San Martin 134,,1708,11,46288049,eldiariodemoron@yahoo.com.ar,www.eldiariodemoron.com.ar,,-34.6496290,-58.6226660,localización precisa,SInCA,Privado,Sí,2019
06581040,06,06581,,Diarios Impresos,Buenos Aires,Necochea,Necochea - Quequen,Ecos Diarios,Calle 62 2486,,7630,2262,430754,ecosdiar@satlink.coma,www.ecosdiarios.com,,-38.5496400,-58.7375700,localización precisa,SInCA,Privado,Sí,2019
06595070,06,06595,,Diarios Impresos,Buenos Aires,Olavarria,Olavarria,El Popular,Vicente Lopez 2626,,7400,2294,420502,director@elpopular.com.ara,www.diarioelpopular.com.ara,,-36.8942530,-60.3247800,localización precisa,SInCA,Privado,Sí,2019
06609080,06,06609,,Diarios Impresos,Buenos Aires,Pehuajo,Pehuajo,Noticias ,Varela 722,,6450,2396,472156,,http://noticiaspehuajo.com/,,-35.8101630,-61.9028530,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06623100,06,06623,,Diarios Impresos,Buenos Aires,Pergamino,Pergamino,El Tiempo ,Rivadavia 42,,,2477,440665,clasificados@eltiempodepergamino.com,,,-33.8881800,-60.5763310,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06623100,06,06623,,Diarios Impresos,Buenos Aires,Pergamino,Pergamino,La Opinion,San Nicolas 400,,2700,2477,437755,redaccion@bbt11.com.ar,www.laopinion-pergamino.com.ar,,-33.8929270,-60.5723630,localización precisa,SInCA,Privado,Sí,2019
06638040,06,06638,,Diarios Impresos,Buenos Aires,Pilar,Pilar,Diario Pilar Regional,Pedro Lagrave 254,,1629,230,4666066,,https://www.pilaradiario.com/,,-34.4569330,-58.9091590,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06638040,06,06638,,Diarios Impresos,Buenos Aires,Pilar,Pilar,Resumen ,San Martin 128,,1629,230,4430868,,https://diarioresumen.com.ar,,-34.4525670,-58.9157240,localización precisa,SInCA,Privado,Sí,2019
06638040,06,06638,,Diarios Impresos,Buenos Aires,Pilar,Pilar,Resumen ,San Martín 128,,1629,,,redaccion@diarioresumen.com.ar,https://diarioresumen.com.ar/,,-34.4525680,-58.9157410,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06658010,06,06658,,Diarios Impresos,Buenos Aires,Quilmes,Quilmes,El Sol,Av. Hipólito Yrigoyen 122,,1878,11,42576325,,http://elsolnoticias.com.ar/,,-34.7156920,-58.2659210,localización precisa,SInCA,Privado,Sí,2019
06658010,06,06658,,Diarios Impresos,Buenos Aires,Quilmes,Quilmes,Perspectiva Sur,Mitre 815,,1878,11,42571182,redaccion@perspectivasur.com,www.perspectivasur.com,,-34.7241270,-58.2520150,localización precisa,SInCA,Privado,Sí,2019
06686060,06,06686,,Diarios Impresos,Buenos Aires,Rojas,Rojas,El Nuevo Diario Rojense ,Lavalle 471,,2705,2475,466000,administracion@elnuevorojense.com.ar,http://www.elnuevorojense.com.ar,,-34.1973040,-60.7359600,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06686060,06,06686,,Diarios Impresos,Buenos Aires,Rojas,Rojas,Hoy Rojas,Dorrego 580,,2705,221,4338900,info@diariohoy.net,www.diariohoy.net,,-34.1974570,-60.7366830,localización precisa,SInCA,Privado,Sí,2019
06728040,06,06728,,Diarios Impresos,Buenos Aires,San Andres de Giles,San Andres de Giles,La Libertad,Belgrano 321,,,2325,440846,la-libertad@ar.inter.net,www.la-libertad.com.ar,,-34.4464190,-59.4430730,localización precisa,SInCA,Privado,Sí,2019
06420020,06,06420,,Diarios Impresos,Buenos Aires,La Costa,San Bernardo,Opinion de la Costa ,Av. San Bernardo 1617,,,2257,464700,,http://www.diarioopinion.com.ar/,,-36.6871670,-56.6942010,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06427010,06,06427,,Diarios Impresos,Buenos Aires,La Matanza,San Justo,NCO ,Monseñor Marcón 2584,1er,,11,44414936,diarionco@gmail.com,https://diario-nco.com/,,-34.6746590,-58.5673330,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06763050,06,06763,,Diarios Impresos,Buenos Aires,San Nicolas,San Nicolas de los Arroyos,El Norte,Francia 64,,2900,3461,422112,diarioelnorte@diarioelnorte.com.ara,www.diarioelnorte.com.ara,,-33.3292290,-60.2181670,localización precisa,SInCA,Privado,Sí,2019
06770050,06,06770,,Diarios Impresos,Buenos Aires,San Pedro,San Pedro,El Diario de San Pedro,Bartolomé Mitre 1085,,,3329,420400,,http://eldiariodesanpedro.com.ar/sitio/,,-33.6807400,-59.6670960,localización precisa,SInCA,Privado,Sí,2019
06770050,06,06770,,Diarios Impresos,Buenos Aires,San Pedro,San Pedro,La Opinion Semanario,San Martin 73,,,3329,420100,laopinion@laopinionsemanario.com.ar,www.laopinionsemanario.com.ar,,-33.6782880,-59.6647340,localización precisa,SInCA,Privado,Sí,2019
06357120,06,06357,,Diarios Impresos,Buenos Aires,General Pueyrredon,Sierra de los Padres,Nueva Sierra ,s/d,,,,,,http://www.nuevasierra.com.ar/,,-37.9541667,-57.7715971,localización por localidad,Diarios Argentinos.com,Privado,Sí,2019
06791050,06,06791,,Diarios Impresos,Buenos Aires,Tandil,Tandil,El Eco de Tandil,H. Yrigoyen 560,,7000,2292,446046,diarioeleco@poraire.net,www.eleco.com.ar,,-37.3273500,-59.1378320,localización precisa,SInCA,Privado,Sí,2019
06791050,06,06791,,Diarios Impresos,Buenos Aires,Tandil,Tandil,La Voz de Tandil ,Av. Santamaria,,7000,249,4448008,,https://www.lavozdetandil.com.ar/,,-37.3226520,-59.1314100,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06791050,06,06791,,Diarios Impresos,Buenos Aires,Tandil,Tandil,Nueva Era,Gral. Rodriguez 445,,7000,2293,422085,nuevaera@infovia.com.ara,www.nuevaeranet.com.ar,,-37.3283110,-59.1356640,localización precisa,SInCA,Privado,Sí,2019
06515010,06,06515,,Diarios Impresos,Buenos Aires,Malvinas Argentinas,Tortuguitas,Tiempo de Tortuguitas ,s/d,,,11,1551620667,tiempodetortuguitas@hotmail.com,http://www.tiempodetortuguitas.com.ar/,,-34.4941030,-58.7005058,localización por localidad,Diarios Argentinos.com,Privado,Sí,2019
06826050,06,06826,,Diarios Impresos,Buenos Aires,Trenque Lauquen,Trenque Lauquen,La Opinion ,Roca 752,,6400,2392,410434,,http://laopinion.com.ar,,-35.9763840,-62.7327750,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06833100,06,06833,,Diarios Impresos,Buenos Aires,Tres Arroyos,Tres Arroyos,El Periodista,Av del Trabajador 840,,,2983,15646223,,www.elperiodista3a.com.ar,,-38.3892730,-60.2760710,localización precisa,SInCA,Privado,Sí,2019
06833100,06,06833,,Diarios Impresos,Buenos Aires,Tres Arroyos,Tres Arroyos,La Voz del Pueblo,Av San Martin 991,,,,,S/D,www.lavozdelpueblo.com.ar,,-38.3696080,-60.2854860,localización precisa,SInCA,Privado,Sí,2019
06861010,06,06861,,Diarios Impresos,Buenos Aires,Vicente Lopez,Vicente Lopez,Lo Nuestro ,Monteverde 3297,,,11,47946638,diariolonuestro@gmail.com,https://www.diariolonuestro.com.ar/,,-34.5068110,-58.4939560,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06868020,06,06868,,Diarios Impresos,Buenos Aires,Villa Gesell,Villa Gesell,El Fundador ,"Av. 3 y Paseo 106 - Galería Futura, local 7",,,3400,457181,,http://elsurdiario.com.ar,,-37.2587280,-56.9701530,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
06882050,06,06882,,Diarios Impresos,Buenos Aires,Zarate,Zarate,El Debate,Justa Lima de Atucha 950,,2800,387,432000,info@eldebate.com.ar,www.eldebate.com.ar,,-34.1029700,-59.0193050,localización precisa,SInCA,Privado,Sí,2019
06882050,06,06882,,Diarios Impresos,Buenos Aires,Zarate,Zarate,La Voz de Zarate,Alte. Brown 742,,2800,387,420855,diariolavozdezarate@cabletel.net.ar,http://www.diariolavozdezarate.com/,,-34.1018370,-59.0215090,localización precisa,SInCA,Privado,Sí,2019
10049030,10,10049,,Diarios Impresos,Catamarca,Capital,San Fernando del Valle de Catamarca,El Ancasti,Sarmiento 518,Piso 1,4700,383,431385,lector@elancasti.net.ar,www.elancasti.com.ar,,-28.4672990,-65.7799440,localización precisa,IVC,Privado,Sí,2019
10049030,10,10049,,Diarios Impresos,Catamarca,Capital,San Fernando del Valle de Catamarca,El Esquiú,Esquiu 843,,4700,383,4453001,,https://www.elesquiu.com/,,-28.4668310,-65.7747920,localización precisa,SInCA,Privado,Sí,2019
22140060,22,22140,,Diarios Impresos,Chaco,San Fernando,Resistencia,El Diario de la Region ,José Hernández 280,,3500,362,4450502,eldiariodelaregion@hotmail.com,https://www.eldiariodelaregion.com.ar/,,-27.4544410,-58.9777620,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
22140060,22,22140,,Diarios Impresos,Chaco,San Fernando,Resistencia,Norte,Carlos Pellegrini 744,,3500,3722,428204,m_diaz@diarionorte.com,www.diarionorte.com,,-27.4468320,-58.9783930,localización precisa,IVC,Privado,Sí,2019
22140060,22,22140,,Diarios Impresos,Chaco,San Fernando,Resistencia,Primera Linea,25 de Mayo  264,,3500,3722,447777,redaccion@diarioprimeralinea.com.ar,www.diarioprimeralinea.com.ar/,,-27.4491880,-58.9888350,localización precisa,SInCA,Privado,Sí,2019
22140060,22,22140,,Diarios Impresos,Chaco,San Fernando,Resistencia,La voz del Chaco,Salta 285,,3500,362,4849077,redaccion@diariolavozdelchaco.com,http://www.diariolavozdelchaco.com,,-27.4512630,-58.9915540,localización precisa,SInCA,Privado,Sí,2019
22140060,22,22140,,Diarios Impresos,Chaco,San Fernando,Resistencia,Diario Chaco,Mitre 593,,3500,362,4413998,,http://www.diariochaco.com/,,-27.4456860,-58.9822930,localización precisa,SInCA,Privado,Sí,2019
26021030,26,26021,,Diarios Impresos,Chubut,Escalante,Comodoro Rivadavia,Cronica,Namuncura 122,,,,,cronica@diariocronica.com.ar,www.diariocronica.com.ar/,,-45.8724090,-67.4992230,localización precisa,SInCA,Privado,Sí,2019
26021030,26,26021,,Diarios Impresos,Chubut,Escalante,Comodoro Rivadavia,El Patagonico,Sarmiento 569,,,297,4462728,redaccion@elpatagonico.net,www.elpatagonico.net,,-45.8599720,-67.4825530,localización precisa,SInCA,Privado,Sí,2019
26035030,26,26035,,Diarios Impresos,Chubut,Futaleufu,Esquel,Paginas del Sur ,Belgrano 563,,,,,,http://paginasdelsur.com.ar/,,-42.9160760,-71.3222680,localización precisa,Diarios Argentinos.com,Privado,Sí,2019
26035030,26,26035,,Diarios Impresos,Chubut,Futaleufu,Esquel,La Portada,Gral. Roca 659,,,2945,450417,redaccion@diariolaportada.com.ar,http://diariolaportada.com.ar/,,-42.9145620,-71.3221360,localización precisa,SInCA,Privado,Sí,2019
26007020,26,26007,,Diarios Impresos,Chubut,Biedma,Puerto Madryn,Diario El Chubut,Roque Saenz Peña 61,,9120,280,4455555,elchubut-madryn@speedy.com.ar,www.elchubut.com.ar,,-42.7649575,-65.0350285,localización precisa,Municipalidad de Puerto Madryn,Privado,Sí,2019
26007020,26,26007,,Diarios Impresos,Chubut,Biedma,Puerto Madryn,Diario Jornada,Marcos A. Zar 857,,9120,280,4458851,administracionmadryn@grupojornada.com,www.diariojornada.com.ar,,-42.7726308,-65.0346482,localización precisa,Municipalidad de Puerto Madryn -  Red de Ciudades Creativas,Privado,Sí,2019
26007020,26,26007,,Diarios Impresos,Chubut,Biedma,Puerto Madryn,El Diario de Madryn,9 de Julio 367,,9120,,,redaccion@diariodemadryn.com,https://www.eldiariodemadryn.com/,,-42.7720760,-65.0457780,localización precisa,SInCA,Privado,Sí,2019
26007040,26,26007,,Diarios Impresos,Chubut,Biedma,Trelew,El Chubut,9 de Julio 329,Piso 1,9100,2965,434802,info@elchubut.com.ar,www.diarioelchubut.com.ar,,-43.2520300,-65.3118310,localización precisa,SInCA,Privado,Sí,2019
2000010,02,02000,,Diarios Impresos,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ambito Financiero,Av. Paseo Colon 1196,,1063,11,43491500,mensajesaleditor@ambitoweb.com,www.ambitoweb.com,,-34.6216290,-58.3683140,localización precisa,SInCA,Privado,Sí,2019
02000010,02,02000,,Diarios Impresos,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Argentinisches Tageblatt,Ciudad de La Paz  1410,,1426,11,47825104,info@tageblatt.com.ar,www.tageblatt.com.ar/,,-34.5681570,-58.4518750,localización precisa,SInCA,Privado,Sí,2019
02000010,02,02000,,Diarios Impresos,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Buenos Aires Economico,Soler 6026,,,,,,https://www.baenegocios.com/,,-34.5774470,-58.4369230,localización precisa,SInCA,Privado,Sí,2019
02000010,02,02000,,Diarios Impresos,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Clarin,Tacuari  1842,,,11,43097500,lectores@clarin.com.ar,www.clarin.com,,-34.6295830,-58.3750850,localización precisa,IVC,Privado,Sí,2019
02000010,02,02000,,Diarios Impresos,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Cronica,Av. Juan de Garay 130/40,,1063,11,43611001,editor@cronica.com.ar,www.cronica.com.ar,,-34.6240800,-58.3670460,localización precisa,SInCA ,Privado,Sí,2019
