Código_Jurisdicción,Descripción_Jurisdicción,Código_Subjurisdicción,Descripción_Subjurisdicción,Código_Entidad,Descripción_Entidad,Código_Programa,Descripción_Programa,Código_Subprograma,Descripción_Subprograma,Codígo_Inciso,Descripción_Inciso,Código_Principal,Descripción_Principal,Crédito_2021
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,2,Bienes de Consumo,9,Otros Bienes de Consumo,58359854
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,1,Servicios Básicos,84472242
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,2,Alquileres y Derechos,17356272
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,3,"Mantenimiento, Reparación y Limpieza",320802094
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,4,Servicios Técnicos y Profesionales,51282568
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,5,Servicios Comerciales y Financieros,37014584
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,6,Publicidad y Propaganda,7536147
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,7,Pasajes y Viáticos,364451024
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,8,"Impuestos, Derechos, Tasas y Juicios",7790555
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,3,Servicios No Personales,9,Otros Servicios,55499122
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,4,Bienes de Uso,3,Maquinaria y Equipo,673298285
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,4,Bienes de Uso,8,Activos Intangibles,43685600
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,5,Transferencias,1,Transf. al Sector Privado para Financiar Gastos Corrientes,10696150
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,16,Formación y Sanción de Leyes Nacionales,0,Formación y Sanción de Leyes Nacionales,5,Transferencias,9,Transferencias al Exterior,7061000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,1,Gastos en Personal,1,Personal Permanente,8952412817
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,1,Gastos en Personal,2,Personal Temporario,3817854552
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,1,Gastos en Personal,5,Asistencia Social al Personal,170800000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,1,Gastos en Personal,6,Beneficios y Compensaciones,780000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,2,Bienes de Consumo,1,"Productos Alimenticios, Agropecuarios y Forestales",49058941
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,2,Bienes de Consumo,2,Textiles y Vestuario,15889704
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,2,Bienes de Consumo,3,"Productos de Papel, Cartón e Impresos",15107408
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,2,Bienes de Consumo,4,Productos de Cuero y Caucho,10485600
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,2,Bienes de Consumo,5,"Productos Químicos, Combustibles y Lubricantes",61417052
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,2,Bienes de Consumo,7,Productos Metálicos,9632620
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,2,Bienes de Consumo,9,Otros Bienes de Consumo,53541175
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,1,Servicios Básicos,96299664
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,2,Alquileres y Derechos,45710860
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,3,"Mantenimiento, Reparación y Limpieza",319735922
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,4,Servicios Técnicos y Profesionales,242987900
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,5,Servicios Comerciales y Financieros,222267143
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,6,Publicidad y Propaganda,19340000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,7,Pasajes y Viáticos,302791232
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,8,"Impuestos, Derechos, Tasas y Juicios",34523743
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,3,Servicios No Personales,9,Otros Servicios,48540092
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,4,Bienes de Uso,3,Maquinaria y Equipo,184057050
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,4,Bienes de Uso,8,Activos Intangibles,41042950
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,5,Transferencias,1,Transf. al Sector Privado para Financiar Gastos Corrientes,62720000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,5,Transferencias,5,Transferencias a Otras Entidades del Sector Público Nacional,59318000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,17,Formación y Sanción Legislativa,0,Formación y Sanción Legislativa,5,Transferencias,9,Transferencias al Exterior,3979000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,1,Gastos en Personal,1,Personal Permanente,2564227605
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,1,Gastos en Personal,2,Personal Temporario,263933128
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,1,Gastos en Personal,5,Asistencia Social al Personal,11822242
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,1,Gastos en Personal,6,Beneficios y Compensaciones,348000024
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,2,Bienes de Consumo,1,"Productos Alimenticios, Agropecuarios y Forestales",1350000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,2,Bienes de Consumo,2,Textiles y Vestuario,1350000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,2,Bienes de Consumo,3,"Productos de Papel, Cartón e Impresos",7000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,2,Bienes de Consumo,9,Otros Bienes de Consumo,12300000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,3,Servicios No Personales,1,Servicios Básicos,17685000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,3,Servicios No Personales,2,Alquileres y Derechos,6000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,3,Servicios No Personales,3,"Mantenimiento, Reparación y Limpieza",27000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,3,Servicios No Personales,4,Servicios Técnicos y Profesionales,165762036
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,3,Servicios No Personales,5,Servicios Comerciales y Financieros,12000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,3,Servicios No Personales,8,"Impuestos, Derechos, Tasas y Juicios",7750000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,3,Servicios No Personales,9,Otros Servicios,14000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,4,Bienes de Uso,3,Maquinaria y Equipo,6530000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,4,Bienes de Uso,5,"Libros, Revistas y Otros Elementos Coleccionables",3000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,18,Asistencia Bibliográfica,0,Asistencia Bibliográfica,4,Bienes de Uso,8,Activos Intangibles,300000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,1,Gastos en Personal,1,Personal Permanente,848986504
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,1,Gastos en Personal,2,Personal Temporario,8026426
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,1,Gastos en Personal,5,Asistencia Social al Personal,16755000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,1,Gastos en Personal,6,Beneficios y Compensaciones,921555
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,2,Bienes de Consumo,1,"Productos Alimenticios, Agropecuarios y Forestales",310000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,2,Bienes de Consumo,2,Textiles y Vestuario,4000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,2,Bienes de Consumo,3,"Productos de Papel, Cartón e Impresos",20945000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,2,Bienes de Consumo,5,"Productos Químicos, Combustibles y Lubricantes",6000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,3,Servicios No Personales,1,Servicios Básicos,4080000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,3,Servicios No Personales,2,Alquileres y Derechos,4000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,3,Servicios No Personales,3,"Mantenimiento, Reparación y Limpieza",4520000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,3,Servicios No Personales,5,Servicios Comerciales y Financieros,200000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,3,Servicios No Personales,9,Otros Servicios,32200000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,4,Bienes de Uso,2,Construcciones,31500000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,4,Bienes de Uso,3,Maquinaria y Equipo,20500000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,1,Gastos en Personal,1,Personal Permanente,1268839524
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,1,Gastos en Personal,2,Personal Temporario,118501719
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,1,Gastos en Personal,5,Asistencia Social al Personal,7800000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,1,Gastos en Personal,6,Beneficios y Compensaciones,201445000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,2,Bienes de Consumo,9,Otros Bienes de Consumo,500000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,3,Servicios No Personales,4,Servicios Técnicos y Profesionales,1297500000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,3,Servicios No Personales,8,"Impuestos, Derechos, Tasas y Juicios",2000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,4,Bienes de Uso,2,Construcciones,50000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,20,Asistencia Social Integral al Personal del Congreso de la Nación,0,Asistencia Social Integral al Personal del Congreso de la Nación,4,Bienes de Uso,3,Maquinaria y Equipo,13600000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,1,Gastos en Personal,1,Personal Permanente,832000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,1,Gastos en Personal,2,Personal Temporario,21300000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,1,Gastos en Personal,5,Asistencia Social al Personal,48700000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,1,Gastos en Personal,7,Gabinete de autoridades superiores,28000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,2,Bienes de Consumo,1,"Productos Alimenticios, Agropecuarios y Forestales",200000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,2,Bienes de Consumo,3,"Productos de Papel, Cartón e Impresos",1000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,2,Bienes de Consumo,4,Productos de Cuero y Caucho,85000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,2,Bienes de Consumo,5,"Productos Químicos, Combustibles y Lubricantes",230000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,2,Bienes de Consumo,7,Productos Metálicos,35000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,2,Bienes de Consumo,9,Otros Bienes de Consumo,1955000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,1,Servicios Básicos,7750000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,2,Alquileres y Derechos,30035000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,3,"Mantenimiento, Reparación y Limpieza",6200000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,4,Servicios Técnicos y Profesionales,3400000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,5,Servicios Comerciales y Financieros,4385000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,6,Publicidad y Propaganda,60000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,7,Pasajes y Viáticos,4500000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,8,"Impuestos, Derechos, Tasas y Juicios",3125000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,3,Servicios No Personales,9,Otros Servicios,4625000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,4,Bienes de Uso,3,Maquinaria y Equipo,25000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,4,Bienes de Uso,8,Activos Intangibles,8000000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,22,Revisión de Cuentas Nacionales,0,Revisión de Cuentas Nacionales,3,Servicios No Personales,4,Servicios Técnicos y Profesionales,46645200
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,23,Revisión de Cuentas Nacionales,0,Revisión de Cuentas Nacionales,3,Servicios No Personales,4,Servicios Técnicos y Profesionales,77200000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,25,Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,0,Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,3,Servicios No Personales,4,Servicios Técnicos y Profesionales,59994000
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,26,Protección de los Derechos del Interno Penitenciario,0,Protección de los Derechos del Interno Penitenciario,1,Gastos en Personal,1,Personal Permanente,551894507
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,26,Protección de los Derechos del Interno Penitenciario,0,Protección de los Derechos del Interno Penitenciario,1,Gastos en Personal,2,Personal Temporario,84427492
1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,26,Protección de los Derechos del Interno Penitenciario,0,Protección de los Derechos del Interno Penitenciario,1,Gastos en Personal,3,Servicios Extraordinarios,3112296
